date/time [UTC+0],pressure_profiler [dbar],salinity_PSS78_profiler [unit],salinity_PSS78_ferrybox [unit],temperature_ITS90_11m [°C],temperature_ITS90_profiler [°C],temperature_ITS90_seafet_profiler [°C],temperature_ITS90_ferrybox [°C],pco2_insitu_temperature_ferrybox [uatm],ph_insitu_temperature_profiler [total scale],ta_discrete [umol kg-1],dic_discrete [umol kg-1],ph_insitu_temperature_discrete [total scale]
2015-07-10T05:00:00,,,34.32,,,,4.78,,,,,
2015-07-10T06:00:00,,,34.31,,,,4.83,,,,,
2015-07-10T07:00:00,,,34.29,,,,4.85,,,,,
2015-07-10T08:00:00,,,34.27,,,,4.9,,,,,
2015-07-10T09:00:00,,,34.27,,,,4.92,,,,,
2015-07-10T10:00:00,,,34.22,,,,5.04,,,,,
2015-07-10T11:00:00,,,34.17,,,,5.12,,,,,
2015-07-10T12:00:00,,,,,,,,,,,,
2015-07-10T13:00:00,,,,,,,,,,,,
2015-07-10T14:00:00,,,,,,,,,,,,
2015-07-10T15:00:00,,,,,,,,,,,,
2015-07-10T16:00:00,,,,,,,,,,,,
2015-07-10T17:00:00,,,,,,,,,,,,
2015-07-10T18:00:00,,,,,,,,,,,,
2015-07-10T19:00:00,,,,,,,,,,,,
2015-07-10T20:00:00,,,,,,,,,,,,
2015-07-10T21:00:00,,,,,,,,,,,,
2015-07-10T22:00:00,,,,,,,,,,,,
2015-07-10T23:00:00,,,,,,,,,,,,
2015-07-11T00:00:00,,,,,,,,,,,,
2015-07-11T01:00:00,,,,,,,,,,,,
2015-07-11T02:00:00,,,,,,,,,,,,
2015-07-11T03:00:00,,,,,,,,,,,,
2015-07-11T04:00:00,,,,,,,,,,,,
2015-07-11T05:00:00,,,,,,,,,,,,
2015-07-11T06:00:00,,,,,,,,,,,,
2015-07-11T07:00:00,,,,,,,,,,,,
2015-07-11T08:00:00,,,,,,,,,,,,
2015-07-11T09:00:00,,,,,,,,,,,,
2015-07-11T10:00:00,,,,,,,,,,,,
2015-07-11T11:00:00,,,34.03,,,,5.36,,,,,
2015-07-11T12:00:00,,,34.12,,,,5.34,,,,,
2015-07-11T13:00:00,,,34.16,,,,5.4,,,,,
2015-07-11T14:00:00,,,34.17,,,,5.48,,,,,
2015-07-11T15:00:00,,,34.14,,,,5.41,,,,,
2015-07-11T16:00:00,,,33.79,,,,5.41,,,,,
2015-07-11T17:00:00,,,33.83,,,,5.55,,,,,
2015-07-11T18:00:00,,,33.82,,,,5.68,,,,,
2015-07-11T19:00:00,,,33.8,,,,5.91,,,,,
2015-07-11T20:00:00,,,33.84,,,,6.23,,,,,
2015-07-11T21:00:00,,,33.86,,,,6.42,,,,,
2015-07-11T22:00:00,,,33.81,,,,,,,,,
2015-07-11T23:00:00,,,33.7,,,,,,,,,
2015-07-12T00:00:00,,,33.75,,,,,,,,,
2015-07-12T01:00:00,,,33.74,,,,,,,,,
2015-07-12T02:00:00,,,33.82,,,,6.37,,,,,
2015-07-12T03:00:00,,,33.92,,,,6.09,,,,,
2015-07-12T04:00:00,,,33.97,,,,6.1,,,,,
2015-07-12T05:00:00,,,34.01,,,,6.16,,,,,
2015-07-12T06:00:00,,,34.06,,,,5.93,,,,,
2015-07-12T07:00:00,,,34.07,,,,5.95,,,,,
2015-07-12T08:00:00,,,34.08,,,,5.91,,,,,
2015-07-12T09:00:00,,,34.09,,,,5.87,,,,,
2015-07-12T10:00:00,,,34.12,,,,5.77,,,,,
2015-07-12T11:00:00,,,34.07,,,,5.85,,,,,
2015-07-12T12:00:00,,,33.93,,,,6.21,,,,,
2015-07-12T13:00:00,,,33.91,,,,6.37,,,,,
2015-07-12T14:00:00,,,33.93,,,,6.29,,,,,
2015-07-12T15:00:00,,,33.94,,,,6.28,,,,,
2015-07-12T16:00:00,,,33.95,,,,6.27,,,,,
2015-07-12T17:00:00,,,33.98,,,,6.25,,,,,
2015-07-12T18:00:00,,,34,,,,,,,,,
2015-07-12T19:00:00,,,34.01,,,,,,,,,
2015-07-12T20:00:00,,,33.99,,,,,,,,,
2015-07-12T21:00:00,,,34.01,,,,,,,,,
2015-07-12T22:00:00,,,33.96,,,,,,,,,
2015-07-12T23:00:00,,,33.97,,,,,,,,,
2015-07-13T00:00:00,,,33.99,,,,,,,,,
2015-07-13T01:00:00,,,34,,,,,,,,,
2015-07-13T02:00:00,,,34.03,,,,,,,,,
2015-07-13T03:00:00,,,34.01,,,,,,,,,
2015-07-13T04:00:00,,,34.06,,,,5.94,,,,,
2015-07-13T05:00:00,,,34.13,,,,5.87,,,,,
2015-07-13T06:00:00,,,34.16,,,,5.74,,,,,
2015-07-13T07:00:00,,,,,,,,,,,,
2015-07-13T08:00:00,,,,,,,,,,,,
2015-07-13T09:00:00,,,,,,,,,,,,
2015-07-13T10:00:00,,,,,,,,,,,,
2015-07-13T11:00:00,,,,,,,,,,,,
2015-07-13T12:00:00,,,,,,,,,,,,
2015-07-13T13:00:00,,,,,,,,,,,,
2015-07-13T14:00:00,,,,,,,,,,,,
2015-07-13T15:00:00,,,,,,,,,,,,
2015-07-13T16:00:00,,,,,,,,,,,,
2015-07-13T17:00:00,,,,,,,,,,,,
2015-07-13T18:00:00,,,,,,,,,,,,
