datetime,pressure [dbar],s_insitu [unit],s_fb [unit],t_11m [°C],t_ctd [°C],t_fb [°C],t_sf [°C],at [umol kg-1],ct [umol kg-1],ph_discrete [total scale],ph_s_dur_temp_fb,ph_calc_fb,pco2 [uatm],pco2_calc_fb_insi_temp,at_calc [umol kg-1],pH_sensor [total scale]
2015-07-10T05:00:00Z,NA,NA,34.32,NA,NA,4.78,NA,NA,NA,NA,NA,NA,NA,NA,2277.9,NA
2015-07-10T06:00:00Z,NA,NA,34.31,NA,NA,4.83,NA,NA,NA,NA,NA,NA,NA,NA,2277.3,NA
2015-07-10T07:00:00Z,NA,NA,34.29,NA,NA,4.85,NA,NA,NA,NA,NA,NA,NA,NA,2276.6,NA
2015-07-10T08:00:00Z,NA,NA,34.27,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,2275.8,NA
2015-07-10T09:00:00Z,NA,NA,34.27,NA,NA,4.92,NA,NA,NA,NA,NA,NA,NA,NA,2275.4,NA
2015-07-10T10:00:00Z,NA,NA,34.22,NA,NA,5.04,NA,NA,NA,NA,NA,NA,NA,NA,2273.2,NA
2015-07-10T11:00:00Z,NA,NA,34.17,NA,NA,5.12,NA,NA,NA,NA,NA,NA,NA,NA,2270.7,NA
2015-07-10T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-11T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
