sample_site_code sample_year sample_month sample_day sample_hour sample_minute sample_seconds sample_id sample_method parameter_formula analysis_group_abbr analysis_value analysis_uncertainty analysis_flag analysis_instrument analysis_year analysis_month analysis_day analysis_hour analysis_minute analysis_seconds sample_latitude sample_longitude sample_altitude sample_elevation sample_intake_height event_number
ZEP 2010 12 23 09 25 00   295-99 P      co2     CCGG   393.930     0.070 flag  L8 2011 01 18 12 19 00  78.9067   11.8883   479.00   474.00     5.00   311038
ZEP 2010 12 23 09 25 00   296-99 P      co2     CCGG   394.000     0.070 flag  L8 2011 01 18 12 33 00  78.9067   11.8883   479.00   474.00     5.00   311039
ZEP 2010 12 30 10 55 00  3013-99 P      co2     CCGG   394.390     0.070 flag  L8 2011 01 18 12 48 00  78.9067   11.8883   479.00   474.00     5.00   311040
ZEP 2010 12 30 10 55 00  3014-99 P      co2     CCGG   394.310     0.070 flag  L8 2011 01 18 13 03 00  78.9067   11.8883   479.00   474.00     5.00   311041
ZEP 2011 01 06 10 10 00   811-91 P      co2     CCGG   396.930     0.070 flag  L8 2011 02 18 14 42 00  78.9067   11.8883   479.00   474.00     5.00   312708
ZEP 2011 01 06 10 10 00   812-91 P      co2     CCGG   396.920     0.070 flag  L8 2011 02 18 14 58 00  78.9067   11.8883   479.00   474.00     5.00   312709
ZEP 2011 01 13 09 45 00   749-99 P      co2     CCGG   395.650     0.070 flag L10 2011 02 18 14 42 00  78.9067   11.8883   479.00   474.00     5.00   312710
ZEP 2011 01 13 09 45 00   750-99 P      co2     CCGG   395.670     0.070 flag L10 2011 02 18 14 59 00  78.9067   11.8883   479.00   474.00     5.00   312711
ZEP 2011 01 21 10 04 00  3927-99 P      co2     CCGG   396.500     0.070 flag L10 2011 02 16 11 24 00  78.9067   11.8883   479.00   474.00     5.00   312533
ZEP 2011 01 21 10 04 00  3928-99 P      co2     CCGG   396.490     0.070 flag L10 2011 02 16 11 40 00  78.9067   11.8883   479.00   474.00     5.00   312534
ZEP 2011 01 27 08 35 00   811-99 P      co2     CCGG   396.170     0.070 flag L10 2011 02 16 11 56 00  78.9067   11.8883   479.00   474.00     5.00   312535
ZEP 2011 01 27 08 35 00   812-99 P      co2     CCGG   396.150     0.070 flag L10 2011 02 16 12 12 00  78.9067   11.8883   479.00   474.00     5.00   312536
ZEP 2011 02 03 08 36 00  5137-99 P      co2     CCGG   396.180     0.070 flag L10 2011 03 15 14 11 00  78.9067   11.8883   479.00   474.00     5.00   314136
ZEP 2011 02 03 08 36 00  5138-99 P      co2     CCGG   396.210     0.070 flag L10 2011 03 15 14 27 00  78.9067   11.8883   479.00   474.00     5.00   314137
ZEP 2011 02 10 14 00 00  5103-99 P      co2     CCGG   396.160     0.070 flag L10 2011 03 15 14 44 00  78.9067   11.8883   479.00   474.00     5.00   314134
ZEP 2011 02 10 14 00 00  5104-99 P      co2     CCGG   396.040     0.070 flag L10 2011 03 15 15 00 00  78.9067   11.8883   479.00   474.00     5.00   314135
ZEP 2011 02 17 09 30 00  1433-99 P      co2     CCGG   396.480     0.070 flag L10 2011 03 16 11 27 00  78.9067   11.8883   479.00   474.00     5.00   314152
ZEP 2011 02 17 09 30 00  1434-99 P      co2     CCGG   396.270     0.070 flag L10 2011 03 16 11 43 00  78.9067   11.8883   479.00   474.00     5.00   314153
ZEP 2011 02 24 09 05 00  4809-99 P      co2     CCGG   396.160     0.070 flag L10 2011 03 16 10 54 00  78.9067   11.8883   479.00   474.00     5.00   314150
ZEP 2011 02 24 09 05 00  4810-99 P      co2     CCGG   396.200     0.070 flag L10 2011 03 16 11 10 00  78.9067   11.8883   479.00   474.00     5.00   314151
ZEP 2011 03 03 14 42 00  3583-99 P      co2     CCGG   397.450     0.070 flag L10 2011 04 04 14 18 00  78.9067   11.8883   479.00   474.00     5.00   315304
ZEP 2011 03 03 14 42 00  3584-99 P      co2     CCGG   397.180     0.070 flag L10 2011 04 04 14 34 00  78.9067   11.8883   479.00   474.00     5.00   315305
