datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-30T00:00:00Z,NaN,NA,NA
2016-09-29T23:00:00Z,239.34241428333334,NA,NA
2016-09-29T22:00:00Z,239.6888385,NA,NA
2016-09-29T21:00:00Z,240.46100263333332,NA,NA
2016-09-29T20:00:00Z,241.82028314545454,NA,NA
2016-09-29T19:00:00Z,240.23979646666666,NA,NA
2016-09-29T18:00:00Z,241.2705924,NA,NA
2016-09-29T17:00:00Z,241.22968486666667,NA,NA
2016-09-29T16:00:00Z,241.07297368333334,NA,NA
2016-09-29T15:00:00Z,241.60611373333333,NA,NA
2016-09-29T14:00:00Z,242.05589513333334,NA,NA
2016-09-29T13:00:00Z,241.28238425,8.101489912948718,NA
2016-09-29T12:00:00Z,NaN,NA,NA
2016-09-29T11:00:00Z,243.66048246666668,NA,NA
2016-09-29T10:00:00Z,243.33169451666666,NA,NA
2016-09-29T09:00:00Z,241.68308044067797,NA,NA
2016-09-29T08:00:00Z,242.26528698333334,NA,NA
2016-09-29T07:00:00Z,244.2388516,NA,NA
2016-09-29T06:00:00Z,248.8846101956522,NA,NA
2016-09-29T05:00:00Z,267.1461820555555,NA,NA
2016-09-29T04:00:00Z,274.19766462162164,NA,NA
2016-09-29T03:00:00Z,282.2763764074074,NA,NA
2016-09-29T02:00:00Z,284.3651984117647,NA,NA
2016-09-29T01:00:00Z,291.712143,NA,NA
2016-09-29T00:00:00Z,NaN,NA,NA
2016-09-28T23:00:00Z,NaN,NA,NA
2016-09-28T22:00:00Z,NaN,NA,NA
2016-09-28T21:00:00Z,NaN,NA,NA
2016-09-28T20:00:00Z,NaN,NA,NA
2016-09-28T19:00:00Z,NaN,NA,NA
2016-09-28T18:00:00Z,NaN,NA,NA
2016-09-28T17:00:00Z,NaN,NA,NA
2016-09-28T16:00:00Z,NaN,NA,NA
2016-09-28T15:00:00Z,NaN,NA,NA
2016-09-28T14:00:00Z,NaN,NA,NA
2016-09-28T13:00:00Z,NaN,NA,NA
2016-09-28T12:00:00Z,NaN,NA,NA
2016-09-28T11:00:00Z,NaN,NA,NA
2016-09-28T10:00:00Z,NaN,NA,NA
2016-09-28T09:00:00Z,NaN,NA,NA
2016-09-28T08:00:00Z,NaN,NA,NA
2016-09-28T07:00:00Z,NaN,NA,NA
2016-09-28T06:00:00Z,NaN,NA,NA
2016-09-28T05:00:00Z,NaN,NA,NA
2016-09-28T04:00:00Z,NaN,NA,NA
2016-09-28T03:00:00Z,NaN,NA,NA
2016-09-28T02:00:00Z,NaN,NA,NA
2016-09-28T01:00:00Z,NaN,NA,NA
2016-09-28T00:00:00Z,NaN,NA,NA
2016-09-27T23:00:00Z,NaN,NA,NA
2016-09-27T22:00:00Z,NaN,NA,NA
2016-09-27T21:00:00Z,NaN,NA,NA
2016-09-27T20:00:00Z,NaN,NA,NA
2016-09-27T19:00:00Z,NaN,NA,NA
2016-09-27T18:00:00Z,NaN,NA,NA
2016-09-27T17:00:00Z,NaN,NA,NA
2016-09-27T16:00:00Z,NaN,NA,NA
2016-09-27T15:00:00Z,NaN,NA,NA
2016-09-27T14:00:00Z,NaN,NA,NA
2016-09-27T13:00:00Z,NaN,NA,NA
2016-09-27T12:00:00Z,NaN,NA,NA
2016-09-27T11:00:00Z,NaN,NA,NA
2016-09-27T10:00:00Z,NaN,NA,NA
2016-09-27T09:00:00Z,NaN,NA,NA
2016-09-27T08:00:00Z,NaN,NA,NA
2016-09-27T07:00:00Z,NaN,NA,NA
2016-09-27T06:00:00Z,NaN,NA,NA
2016-09-27T05:00:00Z,NaN,NA,NA
2016-09-27T04:00:00Z,NaN,NA,NA
2016-09-27T03:00:00Z,NaN,NA,NA
2016-09-27T02:00:00Z,NaN,NA,NA
2016-09-27T01:00:00Z,NaN,NA,NA
2016-09-27T00:00:00Z,NaN,NA,NA
2016-09-26T23:00:00Z,NaN,NA,NA
2016-09-26T22:00:00Z,NaN,NA,NA
2016-09-26T21:00:00Z,NaN,NA,NA
2016-09-26T20:00:00Z,NaN,NA,NA
2016-09-26T19:00:00Z,NaN,NA,NA
2016-09-26T18:00:00Z,NaN,NA,NA
2016-09-26T17:00:00Z,NaN,NA,NA
2016-09-26T16:00:00Z,NaN,NA,NA
2016-09-26T15:00:00Z,NaN,NA,NA
2016-09-26T14:00:00Z,NaN,NA,NA
2016-09-26T13:00:00Z,NaN,NA,NA
2016-09-26T12:00:00Z,NaN,NA,NA
2016-09-26T11:00:00Z,NaN,NA,NA
